Comment,Designator,Footprint,LCSC
1000,"R19,R27,R35,R8",R_0402_1005Metric,C11702
L_Small,L1,L_0402_1005Metric,C1330149
100nF,"C11,C12,C13,C14,C16,C17,C5,C6,C7",C_0402_1005Metric,C1525
C_Small,"C10,C9",C_0402_1005Metric,C1547
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
100,"R1,R12,R13,R14,R15,R16,R17,R18,R2,R20,R21,R22,R23,R24,R25,R26,R28,R29,R3,R30,R31,R32,R33,R34,R4,R5,R6,R7",R_0402_1005Metric,C25076
10k,"R36,R37",R_0402_1005Metric,C25744
4k7,"R10,R11,R9",R_0402_1005Metric,C25900
5k1,"R40,R41",R_0402_1005Metric,C25905
ESP32-S2FH4,U5,ESP32-S2,C2840995
Q_PMOS_GSD,"Q1,Q2",SOT-523,C2879716
74LS47,"U1,U2,U6,U7",SOIC-16_4.55x10.3mm_P1.27mm,C356693
2.0nH,L2,L_0402_1005Metric,C361506
1uF,"C15,C3,C8",C_0402_1005Metric,C52923
AMS1117-3.3,U10,SOT-223-3_TabPin2,C6186
C_Small,"C1,C4",C_0402_1005Metric,C76914
BH1730,PD1,WSOF6,C79616
40MHz +-10PPM,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C90925
10u,"C18,C19,C2",C_0603_1608Metric,C96446
C,C21,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
R,R47,R_0603_1608Metric,
R,R53,R_0603_1608Metric,
SW_Push,SW1,5.2mm_Tactile_Push_Button,
R,R44,R_0603_1608Metric,
R,R45,R_0603_1608Metric,
R,R46,R_0603_1608Metric,
R,R50,R_0603_1608Metric,
R,R54,R_0402_1005Metric,
C,C20,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Antenna,AE1,Texas_SWRA117D_2.4GHz_Left,
2k2,R38,R_0402_1005Metric,
C,C23,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
R,R42,R_0603_1608Metric,
R,R48,R_0603_1608Metric,
R,R43,R_0603_1608Metric,
C,C22,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
2k2,R39,R_0402_1005Metric,
R,R52,R_0603_1608Metric,
R,R49,R_0603_1608Metric,
R,R51,R_0603_1608Metric,
SBC18-11SURKCGKWA,U4,Segment_Display_1-5_inch,
SBC18-11SURKCGKWA,U9,Segment_Display_1-5_inch,
SBC18-11SURKCGKWA,U8,Segment_Display_1-5_inch,
SBC18-11SURKCGKWA,U3,Segment_Display_1-5_inch,
